"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Belleaire Ave","4472",42.489357,-70.936838
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Fays Ave","4473",42.487566,-70.938717
"456","Local Bus","Salem Depot - Central Square, Lynn","Western Ave @ Fays Ave","4473",42.487566,-70.938717
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave opp Victory Rd","4474",42.48655,-70.939816
"456","Local Bus","Salem Depot - Central Square, Lynn","Western Ave opp Victory Rd","4474",42.48655,-70.939816
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave opp Eastern Ave","4475",42.484848,-70.941623
"456","Local Bus","Salem Depot - Central Square, Lynn","Western Ave opp Eastern Ave","4475",42.484848,-70.941623
"411","Local Bus","Kennedy Drive or Jack Satter House - Malden Center Station","350 Revere Beach Blvd","44762",42.420995,-70.98563
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Maple St","4477",42.483955,-70.942598
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Maple St","4477",42.483955,-70.942598
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Brooklawn Terr","4478",42.483099,-70.943383
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Brooklawn Terr","4478",42.483099,-70.943383
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Chatham St","4479",42.481217,-70.945183
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Chatham St","4479",42.481217,-70.945183
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Stanton St","448",42.285363,-71.0804
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave opp Tracey Ave","4480",42.480078,-70.946253
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave opp Tracey Ave","4480",42.480078,-70.946253
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Cross St","4481",42.479081,-70.947211
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Cross St","4481",42.479081,-70.947211
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Chestnut St","4482",42.477267,-70.948921
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Chestnut St","4482",42.477267,-70.948921
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Congress St","4483",42.467214,-70.960072
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Congress St","4483",42.467214,-70.960072
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Park St","4484",42.465934,-70.961617
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Western Ave @ Park St","4484",42.465934,-70.961617
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Western Ave @ Mall St","4485",42.464616,-70.963189
